1
14
1 356 21.1 		FFA-W3-211
99.0000000	-0.1756760	1.6418570	-0.4546490
100.0000000	-0.2172900	1.6322420	-0.4555500
101.0000000	-0.2587530	1.6216590	-0.4564430
102.0000000	-0.2997220	1.6101210	-0.4573150
103.0000000	-0.3402760	1.5976420	-0.4581690
104.0000000	-0.3803550	1.5842390	-0.4590050
105.0000000	-0.4198980	1.5699280	-0.4598190
106.0000000	-0.4588470	1.5547260	-0.4606080
107.0000000	-0.4971440	1.5386530	-0.4613690
108.0000000	-0.5347320	1.5217280	-0.4620970
109.0000000	-0.5715530	1.5039720	-0.4627870
110.0000000	-0.6075540	1.4854080	-0.4634340
111.0000000	-0.6426800	1.4660580	-0.4640310
112.0000000	-0.6768790	1.4459470	-0.4645720
113.0000000	-0.7100990	1.4250990	-0.4650500
114.0000000	-0.7422900	1.4035410	-0.4654570
115.0000000	-0.7734050	1.3812980	-0.4657860
116.0000000	-0.8033970	1.3583990	-0.4660270
117.0000000	-0.8322210	1.3348710	-0.4661720
118.0000000	-0.8598360	1.3107440	-0.4662120
119.0000000	-0.8862000	1.2860490	-0.4661360
120.0000000	-0.9112750	1.2608140	-0.4659360
121.0000000	-0.9350250	1.2350720	-0.4656010
122.0000000	-0.9574150	1.2088540	-0.4651210
123.0000000	-0.9784150	1.1821930	-0.4644860
124.0000000	-0.9979940	1.1551210	-0.4636850
125.0000000	-1.0161260	1.1276730	-0.4627080
126.0000000	-1.0327880	1.0998810	-0.4615440
127.0000000	-1.0479560	1.0717790	-0.4601840
128.0000000	-1.0616130	1.0434040	-0.4586160
129.0000000	-1.0737420	1.0147890	-0.4568310
130.0000000	-1.0843300	0.9859700	-0.4548200
131.0000000	-1.0933660	0.9569820	-0.4525720
132.0000000	-1.1008430	0.9278610	-0.4500800
133.0000000	-1.1067560	0.8986420	-0.4473330
134.0000000	-1.1111020	0.8693610	-0.4443250
135.0000000	-1.1138840	0.8400550	-0.4410480
136.0000000	-1.1151050	0.8107590	-0.4374940
137.0000000	-1.1147720	0.7815090	-0.4336580
138.0000000	-1.1128960	0.7523400	-0.4295340
139.0000000	-1.1094900	0.7232890	-0.4251170
140.0000000	-1.1045710	0.6943910	-0.4204040
141.0000000	-1.0981580	0.6656810	-0.4153920
142.0000000	-1.0902740	0.6371940	-0.4100770
143.0000000	-1.0809470	0.6089650	-0.4044610
144.0000000	-1.0702060	0.5810270	-0.3985430
145.0000000	-1.0580870	0.5534160	-0.3923250
146.0000000	-1.0446270	0.5261650	-0.3858110
147.0000000	-1.0298710	0.4993060	-0.3790040
148.0000000	-1.0138680	0.4728720	-0.3719130
149.0000000	-0.9966740	0.4468950	-0.3645470
150.0000000	-0.9783530	0.4214070	-0.3569170
151.0000000	-0.9589810	0.3964380	-0.3490410
152.0000000	-0.9386460	0.3720180	-0.3409390
153.0000000	-0.9174590	0.3481770	-0.3326400
154.0000000	-0.8955550	0.3249430	-0.3241820
155.0000000	-0.8731130	0.3023440	-0.3156160
156.0000000	-0.8503680	0.2804080	-0.3070150
157.0000000	-0.8276560	0.2591600	-0.2984860
158.0000000	-0.8054600	0.2386250	-0.2901860
159.0000000	-0.7845150	0.2188290	-0.2823620
160.0000000	-0.7659800	0.1997950	-0.2754070
161.0000000	-0.7517550	0.1815450	-0.2699720
162.0000000	-0.7450620	0.1641000	-0.2671740
163.0000000	-0.7514650	0.1474820	-0.2689550
164.0000000	-0.7804340	0.1317100	-0.2786470
165.0000000	-0.8463790	0.1168020	-0.3013770
166.0000000	-0.9628290	0.1027760	-0.3421110
167.0000000	-1.1144590	0.0896480	-0.3958720
168.0000000	-1.2245420	0.0774320	-0.4359300
169.0000000	-1.2232580	0.0661440	-0.4372260
170.0000000	-1.1402900	0.0557960	-0.4094990
171.0000000	-1.0351020	0.0464000	-0.3734920
172.0000000	-0.9288320	0.0379650	-0.3366880
173.0000000	-0.8225620	0.0305030	-0.2994910
174.0000000	-0.7162930	0.0240200	-0.2619140
175.0000000	-0.6100230	0.0185240	-0.2239750
176.0000000	-0.5037540	0.0140200	-0.1856890
177.0000000	-0.3974840	0.0105130	-0.1470720
178.0000000	-0.2912140	0.0080060	-0.1081400
179.0000000	-0.1849450	0.0065020	-0.0689090
180.0000000	-0.0786750	0.0060000	-0.0291430
2 185 24.1 							FFA-W3-241
-180.000000000000	0.053973000000	0.050000000000	0.080000000000
-178.000000000000	0.053973000000	0.050000000000	0.080000000000
-177.714279000000	0.061683000000	0.050000000000	0.091429000000
-176.000000000000	0.107946000000	0.050000000000	0.160000000000
-175.428574000000	0.123366000000	0.050000000000	0.182857000000
-174.000000000000	0.161919000000	0.050000000000	0.240000000000
-173.142853000000	0.185050000000	0.050000000000	0.274286000000
-172.000000000000	0.215891000000	0.050000000000	0.320000000000
-170.857147000000	0.246733000000	0.050000000000	0.365714000000
-170.000000000000	0.269864000000	0.050000000000	0.391207000000
-168.571426000000	0.308416000000	0.050000000000	0.398104000000
-168.000000000000	0.323837000000	0.050000000000	0.397345000000
-166.285721000000	0.370099000000	0.050000000000	0.395069000000
-166.000000000000	0.377810000000	0.050000000000	0.394690000000
-164.000000000000	0.431783000000	0.050000000000	0.392035000000
-162.000000000000	0.485756000000	0.050000000000	0.389380000000
-161.714279000000	0.493466000000	0.052929000000	0.389000000000
-160.000000000000	0.539728000000	0.078434000000	0.389441000000
-159.428574000000	0.555149000000	0.088340000000	0.389758000000
-158.000000000000	0.593701000000	0.114501000000	0.397342000000
-157.142853000000	0.616832000000	0.131020000000	0.401892000000
-156.000000000000	0.647674000000	0.153570000000	0.407959000000
-154.857147000000	0.678516000000	0.177143000000	0.414026000000
-154.000000000000	0.701647000000	0.195183000000	0.418577000000
-152.571426000000	0.740199000000	0.226431000000	0.426161000000
-152.000000000000	0.755620000000	0.239147000000	0.429194000000
-150.285721000000	0.749206000000	0.279288000000	0.432430000000
-148.000000000000	0.740655000000	0.333581000000	0.435862000000
-147.571426000000	0.737904000000	0.343930000000	0.436482000000
-143.857147000000	0.718983000000	0.438388000000	0.431390000000
-143.142853000000	0.714828000000	0.456823000000	0.430399000000
-139.714279000000	0.695858000000	0.548293000000	0.428592000000
-138.714279000000	0.689566000000	0.575188000000	0.427856000000
-135.571426000000	0.668721000000	0.661093000000	0.432144000000
-134.285721000000	0.659197000000	0.696302000000	0.433898000000
-131.428574000000	0.635993000000	0.774536000000	0.437876000000
-129.857147000000	0.622017000000	0.817385000000	0.439839000000
-127.285713000000	0.596783000000	0.886363000000	0.445221000000
-125.428574000000	0.577161000000	0.935665000000	0.448968000000
-123.142860000000	0.550721000000	0.994354000000	0.453579000000
-121.000000000000	0.524400000000	1.048445000000	0.457700000000
-119.000000000000	0.497851000000	1.096375000000	0.461318000000
-116.571426000000	0.464003000000	1.153164000000	0.464991000000
-114.857140000000	0.438558000000	1.190417000000	0.467526000000
-112.142860000000	0.396652000000	1.247458000000	0.471540000000
-110.714287000000	0.373511000000	1.274639000000	0.473080000000
-107.714287000000	0.323366000000	1.329214000000	0.475011000000
-106.571426000000	0.303619000000	1.347405000000	0.475317000000
-103.285713000000	0.245447000000	1.396622000000	0.475899000000
-102.428574000000	0.229991000000	1.407313000000	0.475796000000
-98.857140000000	0.164424000000	1.448215000000	0.474540000000
-98.285713000000	0.153897000000	1.453229000000	0.473851000000
-94.428574000000	0.081998000000	1.482904000000	0.467932000000
-94.142860000000	0.076737000000	1.484306000000	0.467494000000
-90.000000000000	0.000000000000	1.500000000000	0.461137000000
-85.857140000000	-0.076692000000	1.484682000000	0.443483000000
-81.714287000000	-0.153886000000	1.453909000000	0.425829000000
-77.571426000000	-0.230069000000	1.408207000000	0.405407000000
-73.428574000000	-0.303819000000	1.348415000000	0.383032000000
-69.285713000000	-0.373841000000	1.275667000000	0.360229000000
-65.142860000000	-0.439004000000	1.191371000000	0.335374000000
-61.000000000000	-0.498379000000	1.097179000000	0.310519000000
-56.857143000000	-0.551280000000	0.994952000000	0.285618000000
-52.714287000000	-0.597312000000	0.886725000000	0.260702000000
-48.571430000000	-0.636425000000	0.774660000000	0.236190000000
-44.428570000000	-0.668990000000	0.661007000000	0.212446000000
-40.285713000000	-0.695912000000	0.548054000000	0.188703000000
-36.142857000000	-0.718805000000	0.438078000000	0.124843000000
-32.000000000000	-0.869268000000	0.276949000000	0.058012000000
-28.000000000000	-1.049612000000	0.199262000000	0.033163000000
-24.000000000000	-1.121103000000	0.138418000000	0.010059000000
-20.000000000000	-1.120383000000	0.092426000000	-0.005130000000
-18.000000000000	-1.098784000000	0.074688000000	-0.009007000000
-16.000000000000	-1.061195000000	0.059563000000	-0.010992000000
-14.000000000000	-1.021281000000	0.045226000000	-0.012319000000
-12.000000000000	-0.990683000000	0.032631000000	-0.011959000000
-10.000000000000	-0.928878000000	0.020288000000	-0.021743000000
-8.000000000000	-0.676634000000	0.012056000000	-0.053551000000
-6.000000000000	-0.402545000000	0.009239000000	-0.071070000000
-4.000000000000	-0.137510000000	0.008010000000	-0.082059000000
-2.000000000000	0.120438000000	0.007708000000	-0.089583000000
-1.000000000000	0.248192000000	0.007700000000	-0.092881000000
0.000000000000	0.375361000000	0.007743000000	-0.095990000000
1.000000000000	0.501842000000	0.007842000000	-0.098920000000
2.000000000000	0.627231000000	0.008038000000	-0.101628000000
3.000000000000	0.751715000000	0.008287000000	-0.104162000000
4.000000000000	0.874865000000	0.008628000000	-0.106477000000
5.000000000000	0.996450000000	0.009063000000	-0.108553000000
6.000000000000	1.116116000000	0.009606000000	-0.110363000000
7.000000000000	1.233047000000	0.010311000000	-0.111806000000
8.000000000000	1.347073000000	0.011142000000	-0.112861000000
9.000000000000	1.455216000000	0.012318000000	-0.113205000000
10.000000000000	1.560155000000	0.013517000000	-0.113133000000
11.000000000000	1.659332000000	0.014898000000	-0.112386000000
12.000000000000	1.749862000000	0.016603000000	-0.110730000000
13.000000000000	1.829334000000	0.018792000000	-0.108162000000
14.000000000000	1.893767000000	0.021785000000	-0.104830000000
15.000000000000	1.931447000000	0.026587000000	-0.100837000000
16.000000000000	1.933241000000	0.034290000000	-0.096816000000
18.000000000000	1.794924000000	0.063556000000	-0.092260000000
20.000000000000	1.621221000000	0.102049000000	-0.096965000000
24.000000000000	1.392993000000	0.179183000000	-0.116208000000
28.000000000000	1.201168000000	0.256336000000	-0.136118000000
32.000000000000	1.058078000000	0.333581000000	-0.156627000000
32.428570000000	1.054148000000	0.343930000000	-0.160029000000
36.142857000000	1.027119000000	0.438388000000	-0.186147000000
36.857143000000	1.021182000000	0.456823000000	-0.191166000000
40.285713000000	0.994083000000	0.548293000000	-0.214074000000
41.285713000000	0.985094000000	0.575188000000	-0.220689000000
44.428570000000	0.955316000000	0.661093000000	-0.238824000000
45.714287000000	0.941711000000	0.696302000000	-0.246244000000
48.571430000000	0.908561000000	0.774536000000	-0.262704000000
50.142857000000	0.888595000000	0.817385000000	-0.271647000000
52.714287000000	0.852547000000	0.886363000000	-0.285555000000
54.571430000000	0.824516000000	0.935665000000	-0.295532000000
56.857143000000	0.786744000000	0.994354000000	-0.307811000000
59.000000000000	0.749143000000	1.048445000000	-0.319239000000
61.000000000000	0.711216000000	1.096375000000	-0.329696000000
63.428570000000	0.662862000000	1.153164000000	-0.342095000000
65.142860000000	0.626512000000	1.190417000000	-0.350795000000
67.857140000000	0.566646000000	1.247458000000	-0.364569000000
69.285713000000	0.533588000000	1.274639000000	-0.371654000000
72.285713000000	0.461952000000	1.329214000000	-0.385979000000
73.428574000000	0.433742000000	1.347405000000	-0.391312000000
76.714287000000	0.350639000000	1.396622000000	-0.406519000000
77.571426000000	0.328558000000	1.407313000000	-0.410390000000
81.142860000000	0.234891000000	1.448215000000	-0.426146000000
